421305	5032898	297.79	1.736
421237	5032450	295.66	1.736
421216	5032430	295.35	1.736
420957	5032693	296.88	1.736
421640	5033102	298.40	1.736
421641	5033104	298.40	1.736
421790	5032932	295.66	1.736
421809	5032964	297.18	1.736
421762	5033081	296.88	1.736
421857	5032949	297.18	1.736
420971	5033168	297.79	1.736
420960	5033166	297.18	1.736
421922	5032827	294.44	1.736
420893	5033146	297.48	1.736
421949	5032855	295.66	1.736
422007	5032409	295.05	1.736
422101	5032357	292.00	1.736
421096	5031943	295.66	1.736
421287	5033648	296.57	1.736
421756	5031937	295.66	1.736
420304	5032750	296.88	1.736
421182	5033797	296.88	1.736
422242	5032152	294.13	1.736
422520	5033117	295.66	1.736
420079	5032725	296.27	1.736
420076	5032729	296.27	1.736
420532	5031757	297.18	1.736
420108	5033260	296.88	1.736
422434	5033592	292.91	1.736
422221	5033869	294.44	1.736
420092	5032060	297.18	1.736
422225	5031549	289.86	1.736
420436	5031533	293.22	1.736
422797	5032253	295.96	1.736
420432	5031416	295.66	1.736
422909	5032245	293.52	1.736
421807	5034369	297.79	1.736
423022	5032674	295.96	1.736
421258	5031088	294.74	1.736
421729	5031127	293.83	1.736
422461	5031494	291.54	1.736
423031	5032564	295.96	1.736
422608	5033918	296.88	1.736
421768	5031099	292.91	1.736
423024	5032320	294.74	1.736
422218	5034287	296.88	1.736
421245	5030896	293.22	1.736
420173	5031230	296.42	1.736
419906	5031413	296.88	1.736
