290952	5129903	406.467987	0.268
290985	5129603	406.467987	0.268
291214	5129341	406.467987	0.268
291724	5129061	406.467987	0.268
289688	5129814	406.947998	0.09
289469	5129393	406.947998	0.09
290138	5129734	406.578002	1.49
290652	5127535	407.187988	1.49
292157	5128790	406.467987	0.268
291299	5128065	404.470001	1.49
290418	5128239	407.820007	1.49
289781	5128743	406.649993	0.37
289499	5129004	406.540008	0.389999
290214	5127846	405.98999	1.49
291029	5128328	407.519989	1.49
290326	5128215	405.98999	1.49
290132	5128640	408.130004	1.49
290975	5128637	408.73999	1.49
290933	5128352	408.130004	1.49
290880	5128311	407.209991	1.49
290743	5128347	405.690002	1.49
290657	5128257	406.910003	1.49
291316	5127595	405.690002	1.49
290859	5128451	405.98999	1.49
290802	5128267	406.299987	1.49
289998	5128268	407.519989	1.49
290824	5128393	406.600006	1.49
290692	5128239	407.519989	1.49
290523	5128554	406.299987	1.49
291137	5128204	406.910003	1.49
291839	5128747	405.079986	1.49
291776	5128770	407.519989	1.49
289865	5128977	405.98999	1.49
290476	5128489	403.859985	1.49
290543	5128451	407.519989	1.49
291817	5128740	405.98999	1.49
290687	5128606	406.299987	1.49
291765	5128715	408.73999	1.49
290584	5128441	406.910003	1.49
